2010-06-21 22:46:15,453 | OSM_2_OA      | INFO   | Started
2010-06-21 22:46:15,453 | OA            | INFO   | Object created
2010-06-21 22:46:15,454 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-21 22:46:15,454 | OSM           | INFO   | Object created
2010-06-21 22:46:15,454 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-21 22:46:15,455 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=6,46,6.5,46.5]
2010-06-21 22:46:15,456 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-21 22:46:16,998 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-21 22:46:17,031 | OA            | INFO   | {'city': '', 'housenum': u'3', 'osmid': u'617617092', 'locality': '', 'country': '', 'lon': u'6.218804', 'street': '', 'lat': u'46.4411146'}
2010-06-21 22:46:17,031 | OA            | INFO   | {'city': u'Cologny', 'housenum': u'69', 'osmid': u'413587100', 'locality': '', 'country': u'CH', 'lon': u'6.1898037', 'street': u'Chemin de Planta', 'lat': u'46.2156579'}
2010-06-21 22:46:17,031 | OA            | INFO   | {'city': u'Cologny', 'housenum': u'67', 'osmid': u'413587101', 'locality': '', 'country': u'CH', 'lon': u'6.1896998', 'street': u'Chemin de Planta', 'lat': u'46.2155094'}
2010-06-21 22:46:17,032 | OA            | INFO   | {'city': '', 'housenum': u'3A', 'osmid': u'617617096', 'locality': '', 'country': '', 'lon': u'6.2197963', 'street': '', 'lat': u'46.4406679'}
2010-06-21 22:46:17,032 | OA            | INFO   | {'city': '', 'housenum': u'2', 'osmid': u'617617094', 'locality': '', 'country': '', 'lon': u'6.2189182', 'street': '', 'lat': u'46.441248'}
