          created_by           | nr_objects 
-------------------------------+------------
 SO!GIS                        |      90474
 zugis                         |      14915
 Stadt Villach                 |      11890
 n. schenk                     |       2193
 Morges                        |       1892
 lan                           |       1639
 FHNW                          |       1295
 TS                            |       1223
 michael vogt                  |       1098
 Fredy Staudacher              |       1087
 CH. Lindenberger              |       1047
 abbas.saleh                   |       1037
 Adrian Arnosti                |       1025
 Carlos Pinto                  |       1014
 Schönenberger                 |       1010
 Christoph Hüsler              |       1005
 Müller Michael                |       1005
 Stefan Conzett                |       1000
 sebastian arnold              |       1000
 Rudin                         |       1000
 stark                         |        726
 M. Wüthrich                   |        704
 Perrin                        |        678
 miwa                          |        620
 Peter Schilling               |        620
 Pascal.Dobler                 |        555
 pr_rueba                      |        511
 bal                           |        493
 pr_Kogler                     |        488
 RobinCH_FW                    |        472
 pascal.dobler                 |        448
 Philipp Franzen               |        427
 Schrattner                    |        421
 Gredig                        |        415
 G07_Karriè                    |        410
 G07_rueluc                    |        410
 Sadik Korkmaz                 |        407
 ps                            |        405
 Reini                         |        405
 G7_superm                     |        403
 Mango                         |        401
 Sandra Kaiser                 |        401
 Timo                          |        400
 Oggier                        |        399
 Thierry Aeschlimann           |        359
 Bischi                        |        345
 berger                        |        326
 Merlin                        |        298
 bs                            |        279
 daa                           |        278
 M.Schmid                      |        272
 Rüdin Lukas                   |        246
 J. Burkhard                   |        241
 Dwi Secundus                  |        236
 LM                            |        228
 Matti Eric                    |        223
 Müller (Sch)                  |        186
 rhb-fan                       |        183
 vc                            |        180
 gmür                          |        175
 Simon                         |        168
 Arzt                          |        156
 ewi                           |        156
 Trafik                        |        156
 Pulfer                        |        147
 Imholz                        |        143
 Vinzens                       |        140
 bru                           |        137
 kevin                         |        112
 Stalder                       |        109
 R Humbel                      |        108
 apo                           |         89
 kompost                       |         83
 bombo                         |         61
 gummibaerli                   |         58
 Post                          |         57
 mhugent                       |         42
 zueblinm                      |         39
 Bank                          |         37
 ne                            |         34
 stef                          |         34
 tcd                           |         33
 Pfyl                          |         33
 T. von Euw                    |         31
 Elvis                         |         30
 sadik korkmaz                 |         29
 Berger                        |         29
 da                            |         28
 Spahr                         |         26
 Löwenzahn                     |         25
 gp_cuas                       |         23
 fhnw                          |         23
 klöti                         |         22
 Beat Philipona                |         22
 Dani                          |         20
 Fafi                          |         20
 Rahel                         |         20
 michael.vogt                  |         19
 ndzh                          |         18
 Alex Godschachner             |         18
 Gmür                          |         18
 Ich                           |         17
 Raphael                       |         16
 dub                           |         15
 pjanine                       |         14
 mapchecker                    |         14
 Bobbl                         |         12
 ivo.leiss                     |         12
 Christian                     |         12
 Cornelia Stark                |         12
 AH                            |         11
